# SPDX-License-Identifier: GPL-3.0-or-later
# SPDX-FileCopyrightText: 2026 Hexproof contributors
# Generated by tools/forge-printings/generate.py; see printing-aliases.json.
# name	catalog set	catalog number	native set	native number
Augmenter Pugilist // Echoing Equation	PSTX	147s	STX	147
Augur of Autumn	PMID	168p	MID	168
Augur of Autumn	PMID	168s	MID	168
Aura Fracture	WC00	nl2sbb	PCY	2
Aura of Silence	WC98	bh7b	10E	6
Aura of Silence	WC98	bh7bsb	10E	6
Aurelia's Vindicator	PMKM	4p	MKM	4
Aurelia's Vindicator	PMKM	4s	MKM	4
Aurelia, Exemplar of Justice	PGRN	153p	GRN	153
Aurelia, Exemplar of Justice	PGRN	153s	GRN	153
Aurelia, Exemplar of Justice	RVR	356z	RVR	356
Aurelia, the Law Above	MKM	317z	MKM	317
Aurelia, the Law Above	PMKM	188p	MKM	188
Aurelia, the Law Above	PMKM	188s	MKM	188
Aurora Awakener	PECL	165p	ECL	165
Austere Command	FDC	18	2XM	7
Authority of the Consuls	PFDN	137p	FDN	137
Authority of the Consuls	PFDN	137s	FDN	137
Authority of the Consuls	PKLD	5p	KLD	5
Authority of the Consuls	PKLD	5s	KLD	5
Autonomous Assembler	PBRO	34p	BRO	34
Autonomous Assembler	PBRO	34s	BRO	34
Autumn Willow	OLEP	20	HML	83
Autumn Willow	PTC	bl83	HML	83
Autumn Willow	PTC	et83	HML	83
Autumn Willow	PTC	et83sb	HML	83
Autumn Willow	PTC	pp83	HML	83
Autumn Willow	PTC	pp83sb	HML	83
Avabruck Caretaker // Hollowhenge Huntmaster	PVOW	187s	VOW	187
Avacyn's Judgment	PSOI	145s	SOI	145
Avalanche Riders	WC00	jk74	ULG	74
Avalanche Riders	WC99	mlp74	ULG	74
Avalanche Tusker	PKTK	166s	PKTK	166
Avatar Aang // Aang, Master of Elements	PTLA	207s	TLA	207
Avatar Destiny	PTLA	165s	TLA	165
Avatar of Hope	8ED	4★	8ED	4
Avatar of Might	10E	251★	10E	251
Avatar of the Resolute	PDTK	175s	DTK	175
Avatar's Wrath	PTLA	12s	TLA	12
